Year;Tm;Player;Age;PER;TS%;TRB%;AST%;STL%
1979;PHI;Julius Erving;28;20.1;0.538;10.5;19.6;2.1
1979;POR;Tom Owens;29;19.9;0.597;14.7;15.9;1
1979;MIL;Marques Johnson;22;23.9;0.586;11.7;12.3;1.9
1979;SDC;Kermit Washington;27;15;0.603;15.4;5.5;1.4
1979;CHI;Reggie Theus;21;13.3;0.526;4.5;22.8;1.6
1979;DEN;Dan Issel;30;18.3;0.568;14;13.3;1
1979;KCK;Phil Ford;22;15.8;0.534;3.6;32.2;2.9
1979;SEA;Dennis Johnson;24;15;0.495;7.2;14.5;1.7
1979;CLE;Austin Carr;30;15.4;0.529;5.8;11.4;1.3
1979;NOJ;Rich Kelley;25;19.9;0.585;18.5;14.4;2.1
1979;NOJ;Jim McElroy;25;16.2;0.536;3.9;24.2;2.4
1979;IND;Alex English;25;17.6;0.54;12.5;14.4;1.2
1979;DEN;David Thompson;24;19.9;0.567;5.4;13.3;1.2
1979;NYK;Toby Knight;23;15.3;0.539;11.1;6.6;1
1979;SDC;Nick Weatherspoon;28;12.7;0.514;9.1;6.7;1.4
1979;HOU;Rudy Tomjanovich;30;16.4;0.543;11.8;7.3;0.8
1979;PHO;Paul Westphal;28;22.6;0.58;3.3;29.9;1.9
1979;WSB;Bob Dandridge;31;19;0.553;8.6;19.1;1.2
1979;BOS;Chris Ford;30;14.3;0.505;5.4;20.2;2
1979;KCK;Sam Lacey;30;15.3;0.544;14.5;20.1;1.8
1979;DEN;Charlie Scott;30;9.8;0.499;4.2;22;1.4
1979;CHI;Mickey Johnson;26;15.5;0.506;13.2;21.3;1.6
1979;MIL;Brian Winters;26;15.6;0.533;3.8;20.5;1.5
1979;HOU;Rick Barry;34;14.7;0.504;5.9;25.7;1.7
1979;DET;Terry Tyler;22;15.5;0.507;13.2;4.6;1.8
1979;DEN;George McGinnis;28;20.6;0.533;17.7;16.9;2.3
1979;IND;James Edwards;23;16.9;0.542;14;5.2;1.1
1979;PHO;Don Buse;28;11.5;0.519;4.7;16.3;2.7
1979;ATL;Dan Roundfield;25;19.4;0.556;18.4;7.4;1.6
